SNID,bspver,irver,sensever,ir,rs485,sense,rs232,relay,audio,usb2.0,usb3.0,iperfwifi,LED,HDMI,reset,power
EL01491A-89210900456,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06044,P,P,15.7,P,P,P,P
EL01491A-89210900520,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05996,P,P,48.5,P,P,P,P
EL01491A-89210900478,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0652,P,P,23.1,P,P,P,P
EL01491A-89210900447,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06461,P,P,13.0,P,P,P,P
EL01491A-89210900573,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05158,P,P,19.2,P,P,P,P
EL01491A-89210900477,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06476,P,P,30.3,P,P,P,P
EL01491A-89210900479,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0562,P,P,28.2,P,P,P,P
EL01491A-89210900546,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05786,P,P,37.4,P,P,P,P
EL01491A-89210900669,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06166,P,P,40.3,P,P,P,P
EL01491A-89210900429,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06488,P,P,13.1,P,P,P,P
EL01491A-89210900487,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06254,P,P,24.8,P,P,P,P
EL01491A-89210900516,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06402,P,P,58.4,P,P,P,P
EL01491A-89210900634,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06686,P,P,7.42,P,P,P,P
EL01491A-89210900652,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06379,P,P,38.6,P,P,P,P
EL01491A-89210900631,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05826,P,P,23.0,P,P,P,P
EL01491A-89210900337,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06999,P,P,27.2,P,P,P,P
EL01491A-89210900616,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06387,P,P,35.7,P,P,P,P
EL01491A-89210900515,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05754,P,P,32.7,P,P,P,P
EL01491A-89210900369,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05911,P,P,25.6,P,P,P,P
EL01491A-89210900027,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06147,P,P,7.15,P,P,P,P
EL01491A-89210900465,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06052,P,P,4.54,P,P,P,P
EL01491A-89210900014,20210217.150252,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0635,P,P,12.5,P,P,P,P
