pcbasn,voldc,volpoe,login,bspver,irver,sensever,ir,rs485,sense,rs232,relay,audio,usb2.0,usb3.0,wifipower,iperfeth,ethmac,wifimac,SNID,LED,HDMI,reset,power
30398X989210302299,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05732,P,P,-17.43,94.3,F8-57-2E-05-D1-14,CC-4B-73-F3-DD-22,EL01491X189210302299,P,P,P,P
30398X989210302303,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.0574,P,P,-16.71,94.3,F8-57-2E-05-D1-15,CC-4B-73-F3-DD-1C,EL01491X189210302303,P,P,P,P
30398X989210302272,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05136,P,P,-15.57,94.3,F8-57-2E-05-D1-16,CC-4B-73-F3-DD-14,EL01491X189210302272,P,P,P,P
30398X989210302302,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05553,P,P,-15.81,94.4,F8-57-2E-05-D1-17,CC-4B-73-F3-DD-2C,EL01491X189210302302,P,P,P,P
30398X989210302321,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06323,P,P,-16.77,94.3,F8-57-2E-05-D1-18,CC-4B-73-F3-DD-42,EL01491X189210302321,P,P,P,P
30398X989210302301,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05901,P,P,-15.07,94.3,F8-57-2E-05-D1-1A,CC-4B-73-F3-CD-C0,EL01491X189210302301,P,P,P,P
30398X989210302289,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06103,P,P,-15.67,94.3,F8-57-2E-05-D1-1B,CC-4B-73-F3-DD-32,EL01491X189210302289,P,P,P,P
30398X989210302285,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06171,P,P,-15.92,94.3,F8-57-2E-05-D1-23,CC-4B-73-F3-CD-C4,EL01491X189210302285,P,P,P,P
30398X989210302322,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05447,P,P,-15.09,94.3,F8-57-2E-05-D1-24,CC-4B-73-F3-DD-3E,EL01491X189210302322,P,P,P,P
30398X989210302282,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.06005,P,P,-15.31,94.3,F8-57-2E-05-D1-25,CC-4B-73-F3-DD-1A,EL01491X189210302282,P,P,P,P
30398X989210302293,P,P,P,20210119.180438,03-00-00-03,01-00-00-01,P,P,P,P,P,0.05555,P,P,-15.31,94.3,F8-57-2E-05-D1-26,CC-4B-73-F3-DD-0C,EL01491X189210302293,P,P,P,P
